Exam Number,Full Name,Students,Length (h)
EARTH4013_1,Igneous Petrology & Geochem,61,1
EARTH4023_1,Sedimentary Geology,61,1
EDUC5838_1,Cognitive Psychology(PGT Conv),47,1
NURSING1005_1,Nursing & IBLS 1,48,1
PHYS1010_1,Intro Physics (Physics 111),6,1
PHYS2003_1,Physics 2T: Prog Under Linux,34,1
PSYCH4015_1,Psy 4H Single:Bascs of Jt Attn,15,1
VETSCI1002_1,BASIC MAMMALIAN BODY PLAN_1_WR,27,1
VETSCI3004_1,Princ Infect Diseas & Immun 3,20,1
ADED1052E_1,Intro to Ancient Egypt 1A,26,1.5
ARCH2004_1,Arch 2J: Arch of Euro & Med,42,1.5
ARTMED1001_1,Arts &  Media Informatics 1A,71,1.5
BIOL1001_1,Biology 1A,597,1.5
BIOL2002_1,Bioeng & Global Change 2 (12a),116,1.5
BIOL2023_1,Functional Anatomy (Pre_meds),19,1.5
CEES2010_1,CEES 2A,47,1.5
CEES4022_1,Estonian Language Honours 1A,2,1.5
CLASSIC5012_1,Further Topic In Class Civ,2,1.5
DUMF1018_1,Spanish for Beginners (i),29,1.5
DUMF2026_1,Hist 2Am: SC&P in NorthAm,15,1.5
DUMF3009_1,Existentialism,15,1.5
DUMF3010_1,Folk Belief & The Witch_Hunts,17,1.5
DUMF3014_1,Media Health & Leisure,13,1.5
DUMF3033_1,Rural Tourism & Stewardship,12,1.5
EARTH2001_1,Earth Science 2P:Solid Earth,70,1.5
EDUC3061_1,Curriculum Developers 2: Pr 1,121,1.5
ENG1010_1,Civil Eng Geological Studies 1,27,1.5
ENG2005_1,Applicable Mathematics 2A,220,1.5
ENG2015_1,Design and Manufacture 2A,93,1.5
ENG2040_1,Mathematics AE2V,137,1.5
ENG2041_1,Mathematics AE2W,135,1.5
ENG2047_1,Soil Mechanics 2,57,1.5
ENG2077_1,Engineering Comp and Skills M2,131,1.5
ENG3028_1,Engineering Design M3,90,1.5
ENG3035_1,Materials and Manufacturing M3,144,1.5
ENG3036_1,Math Modelling and Sim M3,154,1.5
ENG3037_1,Mechanics of Mat and Struct M3,133,1.5
ENG4094_1,Mech of Solids & Structures M4,83,1.5
ENG4098_1,Microelec in Consumer Prods P4,51,1.5
ENG5053_1,MOSS,4,1.5
ENG5224_1,Structural Concrete C5,45,1.5
ENGLANG1002_1,English Language 1a & 1b,309,1.5
FRENCH4004_1,Court and Conflict,16,1.5
FRENCH4010_1,Sociolinguistics,26,1.5
FRENCH4012_1,Modern French Thought,17,1.5
FRENCH4022_1,The European Emblem,19,1.5
FRENCH4079_1,French Song and Society,25,1.5
FRENCH4080_1,Senegalese Women's Texts,21,1.5
GERMAN4007_1,Goethes Faust,25,1.5
HISP4002_1,Between The Wars,13,1.5
HIST2002_1,Hist 2A: North America,218,1.5
HIST3001_1,Folk Belief and Witch_Hunts,18,1.5
HISTART1001_1,HISTORY OF ART 1 PAPER 1,154,1.5
HISTART1002_1,History of Art 1 Half Course,19,1.5
ITALIAN4008_1,Italian Trans Methodology,16,1.5
ITALIAN4010_1,Modern Italian Poetry,8,1.5
LAW1020_1,Introduction to Legal Study,247,1.5
MATHS2004_1,Maths 2B,405,1.5
MATHS2005_1,Maths 2C,291,1.5
MATHS2012_1,Maths 2M,99,1.5
MED5129_1,Drug Disposition,34,1.5
RUSSIAN4002_1,Russian 20C Visual Culture,24,1.5
SLAV4002_1,Domesticating The Dictators,24,1.5
SLAV4007_1,Slavonic Drama,11,1.5
SOCIO2020_1,Sociology 2A: Global Perspect,131,1.5
TRS2004_1,TRS2: Mysticism & Spirituality,48,1.5
VETMED1007_1,VET BIOMOLEC.SC 1 _ CLASS EXAM,131,1.5
VETMED2007_1,VET BIOMOLECULAR SCI 2 PR 1 CL,130,1.5
VETMED3009_1,VET PHARM (BVMS3) PR1WRITTEN,130,1.5
VETSCI1001_1,Animal Production And Manage,26,1.5
VETSCI2003_1,"Proteins, Dna & Basic Gen 2",23,1.5
VETSCI3005_1,Tools to Invest Biolog Func 3,19,1.5
VETSCI4015_1,"Vet Pub Health, Pop Med & Ep..",21,1.5
VETSCI4016_1,Scientific Methodolgy & Stat..,21,1.5
VETSCI4017_1,"Animal Welf,Ethics & Legisl...",21,1.5
ACCFIN4007_1,Adv Financl Accounting Pract,121,2
ACCFIN4009_1,Auditing Theory & Practice,123,2
ACCFIN4029_1,Corporate Insolvency,43,2
ACCFIN5017_1,Int Capital Markets,193,2
ACCFIN5045_1,International Corporate Gov,22,2
ARTMED5020_1,Legal and Regulatory Framework,6,2
BIOL3001_1,Animal Biology 3A,10,2
BIOL4065_1,Marine & Freshwater Biology 3A,21,2
BIOL4137_1,Zoology 3A,55,2
COMPLIT1001_1,Comparative Literature 1A,101,2
COMPLIT2001_1,Comparative Literature 2A,68,2
COMPSCI5026_1,Research Readings in CS (M),21,2
DUMF1020_1,Text and Communication,75,2
DUMF2012_1,Mathematics _ Theory And Ped,29,2
DUMF3017_1,Scottish Writing,20,2
DUMF4017_1,Scots Abroad,1,2
DUMF5016_1,Sustainable Buildings,5,2
ECON1001_1,Economics 1A,591,2
EDUC1012_1,Fundamentals in Education 1A,67,2
EDUC1027_1,Relig Ed in Contemp Soc 1,20,2
ENG1002_1,Aerospace Engineering 1,97,2
ENG1023_1,Engineering Mathematics EE1X,213,2
ENG2026_1,Electronic Devices 2,34,2
ENG3014_1,Communication Systems 3,77,2
ENG3016_1,Data Acquisit for Music Proc 3,13,2
ENG3026_1,Electronic System Design 3,66,2
ENG3033_1,Hydrology 3,42,2
ENG3038_1,Microscopy and Optics 3,19,2
ENG3039_1,Numerical Methods in Aero 3,79,2
ENG3042_1,Propulsion and Turbomach 3,121,2
ENG3043_1,Real Time Computer Systems 3,74,2
ENG3059_1,Aircraft Performance 3,112,2
ENG3061_1,Aircraft Structures and Mat 3,78,2
ENG3074_1,Soil Mechanics 3,55,2
ENG4001_1,Acoustics and Audio Tech 4,29,2
ENG4042_1,Control 4,54,2
ENG4053_1,Digital Signal Processing 4,20,2
ENG4067_1,Flight Dynamics 4,76,2
ENG4070_1,Geotechnical Engineering 4,71,2
ENG4104_1,Power Systems 4,13,2
ENG4124_1,Structural Design 4,71,2
ENG5008_1,Aerospace Control I,8,2
ENG5013_1,Aircraft Flight Dynamics,8,2
ENG5022_1,Control,16,2
ENG5027_1,Digital Signal Processing,26,2
ENG5029_1,Electrical Energy Systems,17,2
ENG5076_1,Simulation of Aero Systems,13,2
ENGLANG1001_1,English Language 1a,11,2
ENGLANG2004_1,English Language 2A,73,2
ENGLIT1001_1,Eng Lit 1A:Intro To Lit Study,421,2
ESH1001_1,ESH 1A: Towards Globalisation,179,2
FRENCH3001_1,French 3,2,2
FRENCH3002_1,FRENCH 3,7,2
GREEK1001_1,Greek 1A,18,2
GREEK2001_1,Greek 2A,3,2
GREEK4001_1,Advanced Greek for Honours 1,1,2
GREEK4003_1,Basic Greek for Honours 1,2,2
GREEK5003_1,Basic Greek for Postgrads 1,1,2
LATIN2001_1,Latin 2A,2,2
LATIN2003_1,Latin 2C,4,2
LATIN4001_1,Advanced Latin for Honours 1,4,2
LATIN5001_1,Adv Latin for Postgrads 1,3,2
LAW1001_1,Business Law,179,2
LAW1003_1,Criminal Law and Evidence 1,253,2
LAW2006_1,International Private Law  1,91,2
LAW2032_1,Tax Law,23,2
MATHS1001_1,Maths 1R,530,2
MATHS1007_1,MATHEMATICS E1,72,2
MED4039_1,Core Course (intercal),57,2
MED5029_1,Introduction to Statistical,29,2
MED5067_1,Principles of Forensic Toxic,10,2
MED5166_1,Pharmacogenomics&Molecular Med,40,2
MGT2002_1,Business & Management 2A,216,2
MGT5048_1,Leading People and Org,27,2
MGT5063_1,People in Organizations,284,2
MGT5172_1,Operations Management,284,2
MGT5177_1,Business Finance,177,2
MGT5222_1,Ops Management (ENG),41,2
MGT5224_1,Ops Management (Public Policy),1,2
NURSING3030_1,Human Disease & Pathology,46,2
PSYCH5012_1,Molecules to Mind,7,2
SCOTLIT1001_1,Scottish Literature 1A,93,2
STATS1002_1,Statistics 1Y,108,2
URBAN1015_1,Public Policy 1A: Foundatio...,137,2
URBAN4008_1,Urban Policy,8,2
VETMED1005_1,VET ANATOMY 1 _ CLASS EXAM,133,2
VETMED1008_1,VET PHYSIOLOGY 1 _ CLASS EXAM,134,2
VETMED2004_1,VET ANATOMY 2 PR 2 _ CLASS EXA,132,2
VETMED2008_1,VET PHYSIOLOGY (BVMS2) PR1 _ C,132,2
VETMED3006_1,VET MICROBIOLOGY (BVMS3) DGR 1,130,2
VETMED3007_1,VET PARASITOLOGY (BVMS3)WRITTE,129,2
VETMED3008_1,VET PATHLGY (BVMS3) _ CLASS EX,130,2
VETMED1006_1,VET ANIMAL HUSBANDRY 1_ CLS EX,129,2.5
VETMED2005_1,Veterinary Animal Husbandry 2,130,2.5
BIOL3005_2,Biomolecular Sci 3A _ Essay,2,3
BIOL4009_2,Biochemistry 3A (Essay),28,3
BIOL4051_2,Genetics 3A _ Essay,43,3
BIOL4074_2,Molecular&Cellular Bio3A Essay,32,3
PSYCH4028_1,Psy 4H Single: Lang and Mean,31,3
VETSCI1002_2,BASIC MAMMALIAN BODY PLAN_1_PR,27,0.5
LAW1005_1,POPO _ Property,11,0.75
PHYS2001_1,PHYSICS 2 CLASS TEST 2,181,0.75
BIOL4101_1,Phys & Integrat Human 3 (Comb),1,1
CHEM3026_1,Inorg Chem for Chem Studies,28,1
CHEM3027_1,Org Chem for Chemical Studies,27,1
CHEM3028_1,Phys Chem for Chemical Studies,27,1
DENT1005_1,BDS1 (Written Examination Co,89,1
DUMF3001_1,App Ecology/Conservn 3,12,1
DUMF5079_1,Environmental Communication,2,1
EARTH2003_1,Earth Science 2R: Sediments,67,1
EARTH4014_1,Isotope Geology,62,1
EARTH4017_1,Metamorphic Petrology,60,1
ECON5068_1,"Invest, Fin & Asset Prices",18,1
GEOG1001_1,Geography 1,179,1
GEOG1007_1,Geography 1 (Half Course),1,1
MED4035_1,Critical Care Med (intercal),8,1
MED4036_1,Clin Neuroscience (intercal),7,1
MED4037_1,Cancer Studies (intercal),6,1
MED4038_1,Cardiovascular (intercal),8,1
MED4040_1,External Placement (intercal),2,1
MED4041_1,Global Health (intercal),5,1
MED4043_1,Mechs of Disease (intercal),5,1
MED4045_1,Psych. Med. (intercal),4,1
MED4047_1,Sports Medicine (intercal),5,1
MED4049_1,Women&Child Health (intercal),7,1
MED5202_1,Topics In Therapeutics,38,1
PSYCH4029_1,Psy 4H Single: Leadership,72,1
VETMED3006_2,Vet Microbiol 3(BVMS 3) Pract,130,1
VETMED3009_2,VET PHARM (BVMS3) PR2 WRITTEN,130,1
ADED1169E_1,Ancient E Archaeology 1A,26,1.5
ARCH1001_1,Arch 1A: Arch of Scotland,182,1.5
ARTMED2001_1,Arts & Media Informatics 2A,21,1.5
ARTMED3010_1,Humanity and Transhumanity,8,1.5
BIOL2001_1,Animal Diversity 2 (4a),147,1.5
BIOL2008_1,Essential Genetics 2 (1a),318,1.5
BIOL2013_1,Human Form & Function 2 (7a),439,1.5
BIOL3005_1,Biomolecular Sci 3A _Data Hand,2,1.5
BIOL4009_1,Biochemistry 3A _Data Handling,28,1.5
BIOL4051_1,Genetics 3A  _ Data Handling,43,1.5
BIOL4074_1,Molecular&Cellular Bio 3A_Data,32,1.5
CELTCIV1001_1,Celtic Civilisation 1A,118,1.5
CELTCIV2001_1,Celtic Civilisation 2A,29,1.5
CHEM3010_1,Inorganic Chemistry 3,60,1.5
CHEM3011_1,Inorganic Chemistry 3 Half,13,1.5
CHEM3012_1,Organic Chemistry 3,59,1.5
CHEM3013_1,Organic Chemistry 3 Half,9,1.5
CHEM3014_1,Physical Chemistry 3,63,1.5
CHEM3015_1,Physical Chemistry 3 Half,8,1.5
CLASSIC2001_1,Classical Civilisation 2A,38,1.5
COMPLIT4002_1,Intercultural Readings,53,1.5
COMPLIT4014_1,Vampires and Vampirism: Int,26,1.5
COMPLIT4015_1,Writing Subjects,24,1.5
COMPLIT4017_1,Bros.Grimm&EuropeanFairyTale,22,1.5
COMPSCI2001_1,CS2P:Java Prog 2 Class Test,142,1.5
COMPSCI2003_1,CS2R:Alg Foundations 2,126,1.5
CZECH4001_1,Czech Cinema,20,1.5
CZECH4030_1,CZECH WRITERS,6,1.5
DUMF1009_1,Contemporary Health Issues,41,1.5
DUMF2006_1,Health Policy & Practice,11,1.5
DUMF3030_1,Human Impact on the Environ,19,1.5
EDUC3061_2,Curriculum Developers 2: Pr 2,121,1.5
ENG1003_1,Analogue Electronics 1,94,1.5
ENG1015_1,Design and Manufacture 1A,77,1.5
ENG1031_1,Intro to Biomed Engineering 1,38,1.5
ENG2011_1,Biomaterials 2,33,1.5
ENG2039_1,Materials M2,140,1.5
ENG2053_1,Thermodynamics M2,123,1.5
ENG3011_1,Biological Fluid Mechanics 3,18,1.5
ENG3053_1,Thermodynamics of Engines M3,81,1.5
ENG5096_1,Advanced Manufacture,24,1.5
FRENCH4001_1,French Womens Writing,25,1.5
FRENCH4006_1,French Cinema,27,1.5
FRENCH4019_1,Stylistics,34,1.5
FRENCH4027_1,French Travel Writing,23,1.5
FRENCH4081_1,French Translation Studies,25,1.5
GERMAN4009_1,Re_Evaluations,15,1.5
HISP4021_1,"Mexico: Past, Present, Future",26,1.5
HISP4023_1,LA Nonfiction Lit and Progress,21,1.5
HISP4072_1,Spanish Trans Methodology,34,1.5
HISP4080_1,Dynamic Dialogues,10,1.5
HISTART2001_1,HISTORY OF ART 2 PAPER 1,57,1.5
HISTART2004_1,History of Art 2A,5,1.5
ITALIAN4012_1,Women in Modern Italy,13,1.5
MGT1003_1,Entrepreneurship 1A,111,1.5
MGT1005_1,Management 1 BAcc,233,1.5
NURSING2004_1,Nursing And Health Studies 2,32,1.5
PHYS4007_1,PHYSICS 4 GENERAL WORKSHOP,47,1.5
PHYS5012_1,PHYSICS 5 PROBLEM SOLVING WKSP,38,1.5
