Room,Teaching Capacity
BOYD ORR BUILDING:ROOM 813 ,60
BOYD ORR BUILDING:ROOM 829 ,60
BOYD ORR BUILDING:ROOM 924 ,52
JAMES WATT SOUTH:427A STUDIO,45
JAMES WATT SOUTH:427B STUDIO,75
JOHN MCINTYRE:201 FLAT,184
JOHN MCINTYRE:208,75
KELVIN BUILDING:ROOM 220/220a ,60
KELVIN BUILDING:ROOMS 323 & 324 ,60
MAIN BLD:253 GILBERT SCOTT,40
MAIN BLD:256 FORE HALL,60
MAIN BLD:355 GILBERT SCOTT,40
MAIN BLD:356 GILBERT SCOTT,40
MAIN BLD:413 KELVIN GALLERY,350
MAIN BLD:420 BUTE HALL,550
MAIN BLD:457 RANDOLPH HALL,110
MAIN BLD:461 SENATE ROOM,107
MAIN BLD:HUNTER HALL,550
OTC BLDG:101 DRILL HALL,110
RANKINE:601 DRWG OFFICE,39
RANKINE:629 DRWG OFFICE,51
RANKINE:630 DRWG OFFICE,55
SIR CHARLES WILSON:101A/B,80
ST ANDREWS:157 GYMNASIUM,200
ST ANDREWS:227,60
ST ANDREWS:234,56
ST ANDREWS:237A/B,70
WILT:101 FOYER,140
WILT:112A/B SEM,88
KELVIN HALL:G18 SPORTS HALL 1,100
KELVIN HALL:G25 SPORTS HALL 2,200
